HOME_HT_FG3M,HOME_HT_FG3A,HOME_HT_FTM,HOME_HT_FTA,HOME_HT_OREB,HOME_HT_DREB,HOME_HT_AST,HOME_HT_STL,HOME_HT_BLK,HOME_HT_TO,HOME_HT_PF,HOME_HT_PTS,HOME_HT_FG2M,HOME_HT_FG2A,HOME_HT_Best_PTS_Player,HOME_HT_Second_Best_PTS_Player,HOME_HT_Best__Players_PF,AWAY_HT_FG3M,AWAY_HT_FG3A,AWAY_HT_FTM,AWAY_HT_FTA,AWAY_HT_OREB,AWAY_HT_DREB,AWAY_HT_AST,AWAY_HT_STL,AWAY_HT_BLK,AWAY_HT_TO,AWAY_HT_PF,AWAY_HT_PTS,AWAY_HT_FG2M,AWAY_HT_FG2A,AWAY_HT_Best_PTS_Player,AWAY_HT_Second_Best_PTS_Player,AWAY_HT_Best__Players_PF,HOME_FT_FG3M,HOME_FT_FG3A,HOME_FT_FTM,HOME_FT_FTA,HOME_FT_OREB,HOME_FT_DREB,HOME_FT_AST,HOME_FT_STL,HOME_FT_BLK,HOME_FT_TO,HOME_FT_PF,HOME_FT_PTS,HOME_FT_FG2M,HOME_FT_FG2A,HOME_FT_Best_PTS_Player,HOME_FT_Second_Best_PTS_Player,AWAY_FT_FG3M,AWAY_FT_FG3A,AWAY_FT_FTM,AWAY_FT_FTA,AWAY_FT_OREB,AWAY_FT_DREB,AWAY_FT_AST,AWAY_FT_STL,AWAY_FT_BLK,AWAY_FT_TO,AWAY_FT_PF,AWAY_FT_PTS,AWAY_FT_FG2M,AWAY_FT_FG2A,AWAY_FT_Best_PTS_Player,AWAY_FT_Second_Best_PTS_Player,HOME,AWAY,GAME_ID,tot_HT,tot,date,game_time
3,8,10,14,10,16,9,4,2,5,10,49,15,38,12,10,0.333333333,3,10,9,12,3,17,10,4,4,7,12,48,15,31,15,7,1,5,16,23,34,16,32,21,7,3,11,20,98,30,69,18,15,9,24,19,24,9,28,24,8,8,15,27,94,24,58,21,17,CLE,BKN,21300004,97,192,"WEDNESDAY, OCTOBER 30, 2013",02:23
5,9,8,12,9,17,11,4,1,10,11,55,16,41,13,10,0.5,4,9,5,10,3,18,16,5,2,9,8,57,20,32,13,13,0.5,14,29,18,28,18,34,23,8,6,19,23,116,28,64,22,16,8,21,13,23,10,30,27,11,4,16,21,103,33,62,19,17,LAL,LAC,21300003,112,219,"TUESDAY, OCTOBER 29, 2013",02:28
2,9,4,7,8,19,6,2,9,12,6,40,15,32,13,10,1,4,11,2,3,3,15,9,6,4,7,10,44,15,35,18,6,2,7,17,22,32,10,34,17,4,18,20,13,97,27,54,24,19,9,20,6,10,13,26,17,10,6,17,26,87,27,74,18,14,IND,ORL,21300001,84,184,"TUESDAY, OCTOBER 29, 2013",02:18
7,12,9,14,3,22,16,8,3,6,9,54,12,30,11,9,0.5,2,11,7,11,6,20,6,4,2,13,14,33,10,29,19,7,1,11,20,22,29,5,35,26,10,7,18,21,107,26,52,17,16,7,26,18,23,11,30,23,11,4,18,27,95,28,57,31,20,MIA,CHI,21300002,87,202,"TUESDAY, OCTOBER 29, 2013",02:32
4,11,5,7,4,16,11,8,0,7,8,51,17,31,11,11,1.5,5,15,2,2,2,13,16,3,0,9,10,49,16,26,13,8,166.666.666.667,8,21,20,24,8,32,24,16,1,18,21,114,35,59,26,24,16,40,10,13,7,24,30,7,0,19,25,110,26,45,25,22,PHI,MIA,21300005,100,224,"WEDNESDAY, OCTOBER 30, 2013",02:15
2,10,5,11,8,16,9,5,4,6,15,49,19,37,8,6,166.666.666.667,0,6,11,17,2,13,7,3,5,11,13,37,13,25,13,11,2,5,17,12,23,19,29,15,9,6,17,25,93,33,69,19,13,3,14,20,29,7,26,15,10,7,22,27,87,29,53,25,17,TOR,BOS,21300006,86,180,"WEDNESDAY, OCTOBER 30, 2013",02:23
5,12,4,6,5,19,14,4,3,10,8,55,18,29,11,10,0.5,7,16,2,2,6,11,13,0,1,8,10,43,10,29,17,8,1,9,24,26,33,12,32,24,6,4,18,27,113,30,54,24,19,10,25,24,32,13,25,23,5,3,16,30,102,24,53,28,20,DET,WAS,21300007,98,215,"WEDNESDAY, OCTOBER 30, 2013",02:27
2,5,10,11,1,16,10,8,2,8,9,56,20,34,12,12,166.666.666.667,1,7,4,5,2,13,6,4,2,16,15,31,12,27,8,6,2,3,13,15,17,6,28,17,12,6,22,16,90,33,58,19,18,5,16,10,12,5,26,19,10,4,23,22,83,29,58,16,14,NYK,MIL,21300008,87,173,"WEDNESDAY, OCTOBER 30, 2013",02:23
2,9,11,14,6,17,12,3,0,10,9,53,18,31,15,13,2,3,12,14,15,3,15,15,8,4,7,11,55,16,27,13,12,1.5,11,24,19,24,7,35,31,7,2,20,22,118,33,53,32,24,8,24,27,35,5,28,27,16,5,17,20,109,29,52,24,20,DAL,ATL,21300012,108,227,"WEDNESDAY, OCTOBER 30, 2013",02:14
6,13,7,14,10,23,9,4,4,11,9,45,10,27,14,8,1.5,1,3,6,8,5,15,5,5,5,6,12,39,15,43,12,8,166.666.666.667,9,26,15,24,14,40,17,4,6,18,16,96,27,51,21,19,4,10,13,20,12,25,14,8,6,7,21,83,29,80,15,14,HOU,CHA,21300009,84,179,"WEDNESDAY, OCTOBER 30, 2013",02:09
