key,rl_time,team,opp_team,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,runTime
20121017,away,Washington,Toronto,6.0,1.98,6.0,1.91,,,,,6.0,1.91,2018-09-06 21:32:02.844600
20121017,home,Toronto,Washington,-6.0,1.93,-6.0,1.91,,,,,-6.0,1.91,2018-09-06 21:32:02.844600
20121017,away,Cleveland,Philadelphia,5.5,1.91,5.5,1.91,,,,,6.0,1.87,2018-09-06 21:32:02.844600
20121017,home,Philadelphia,Cleveland,-5.5,2.0,-5.5,1.91,,,,,-6.0,1.95,2018-09-06 21:32:02.844600
20121017,away,Memphis,Houston,4.0,1.95,4.0,1.91,,,,,4.0,1.91,2018-09-06 21:32:02.844600
20121017,home,Houston,Memphis,-4.0,1.95,-4.0,1.91,,,,,-4.0,1.91,2018-09-06 21:32:02.844600
20121017,away,Phoenix,Dallas,4.0,2.0,4.5,1.91,,,,,4.5,1.91,2018-09-06 21:32:02.844600
20121017,home,Dallas,Phoenix,-4.0,1.91,-4.5,1.91,,,,,-4.5,1.91,2018-09-06 21:32:02.844600
20121017,away,Golden State,Sacramento,6.0,1.95,6.0,1.91,,,,,5.5,1.91,2018-09-06 21:32:02.844600
20121017,home,Sacramento,Golden State,-6.0,1.95,-6.0,1.91,,,,,-5.5,1.91,2018-09-06 21:32:02.844600
20121017,away,Denver,Portland,3.5,1.95,3.5,1.91,,,,,3.5,1.91,2018-09-06 21:32:02.844600
20121017,home,Portland,Denver,-3.5,1.95,-3.5,1.91,,,,,-3.5,1.91,2018-09-06 21:32:02.844600
20121017,away,Utah,L.A. Clippers,6.0,1.96,6.0,1.91,,,,,6.0,1.91,2018-09-06 21:32:02.844600
20121017,home,L.A. Clippers,Utah,-6.0,1.94,-6.0,1.91,,,,,-6.0,1.91,2018-09-06 21:32:02.844600
